song_name,year,movie,music_composer,singers,lyricist,production_house,music_label,key,tempo,time_signature,genre,description,youtube_link
Meri Tum Ho,2020,Ludo,Pritam,Jubin Nautiyal; Ash King,Sandeep Shrivastava; Shloke Lal,"T-Series Films, Anurag Basu Productions",T-Series,G,90,4/4,Devoted Romantic Duet,"""Meri Tum Ho"" was picturized on Abhishek Bachchan's segment of Ludo, showcasing a different, more weathered shade of devotion compared to the film's younger couples. Jubin Nautiyal and Ash King's blended vocals ride an estimated G major melody at a steady ~90 BPM in 4/4, with Pritam's arrangement favoring warm acoustic textures and a simple, hummable structure that became one of the soundtrack's three charted hit singles. Sandeep Shrivastava and Shloke Lal's lyrics express unwavering possessive devotion (""you are mine""). The mood is sincere and tender, fitting the older, more grounded romantic arc within the film's ensemble structure.",https://youtu.be/7GCQEt1sDFI?si=yjxvoFBC_yy8QS27
Dil Julaha,2020,Ludo,Pritam,Darshan Raval,Swanand Kirkire,"T-Series Films, Anurag Basu Productions",T-Series,C,84,4/4,Gentle Folk-Pop Ballad,"""Dil Julaha"" (""the heart, a weaver"") brings celebrated lyricist Swanand Kirkire's poetic, metaphor-rich writing to Ludo's soundtrack, with Darshan Raval's earnest, youthful voice carrying the song's central image of the heart weaving itself around someone. Estimated in C major at a relaxed ~84 BPM in 4/4, Pritam's arrangement keeps things simple and melodic, in line with his and director Anurag Basu's stated goal of crafting songs that offer ""a break from the edginess"" of the film's chaotic, multi-narrative plot. The mood is warm and unhurried, offering one of the soundtrack's gentler, more contemplative moments amid the film's darker crime-comedy elements.",https://youtu.be/4z408skANFU?si=zFris0DlWXp7NpI_
Tumse Bhi Zyada,2021,Tadap,Pritam,Arijit Singh; Pritam,Irshad Kamil,Nadiadwala Grandson Entertainment,T-Series,Fm,74,4/4,Anguished Romantic Ballad,"""Tumse Bhi Zyada"" sets the emotionally raw tone of Tadap, with Arijit Singh's pained, high-register delivery joined by Pritam's own backing vocals for added textural depth. Estimated in F minor at a slow ~74 BPM in 4/4, the arrangement builds from a sparse piano opening into a fuller, string-laden swell, mirroring the film's themes of obsessive love and betrayal-driven revenge. Irshad Kamil's lyrics express a love that exceeds all reasonable proportion, foreshadowing the destructive intensity at Tadap's narrative core. The mood is anguished and desperate, marking Pritam's continued specialty in crafting opening-title heartbreak anthems for Sajid Nadiadwala-produced romantic dramas, setting emotional stakes before the story's revenge plot fully unfolds.",https://youtu.be/YHSJHHG5MQ0?si=L5KsSEtKyW1CqXvu
Tere Siva Jag Mein,2021,Tadap,Pritam,Shilpa Rao; Darshan Raval; Charan,Irshad Kamil,Nadiadwala Grandson Entertainment,T-Series,Am,80,4/4,Devotional Romantic Ballad,"""Tere Siva Jag Mein"" is Tadap's central romantic theme, layering Shilpa Rao and Darshan Raval's contrasting vocal textures with Charan's added vocal presence for a fuller emotional canvas. Estimated in A minor at a measured ~80 BPM in 4/4, Pritam's arrangement leans on warm strings and a steady, devotional rhythm that suggests the all-consuming, near-spiritual nature of the central romance. Irshad Kamil's lyrics declare that nothing in the world exists beyond the beloved. The mood is tender yet weighty, foreshadowing the depth of devotion that later curdles into the film's revenge narrative — the song proved popular enough to be reissued across three additional alternate versions within the same soundtrack.",https://youtu.be/sbWPFRaAhcQ?si=2ml6H8Fbp_nA1o7y
Tu Mera Hogaya Hai,2021,Tadap,Pritam,Jubin Nautiyal,Irshad Kamil,Nadiadwala Grandson Entertainment,T-Series,D,88,4/4,Melodic Romantic,"""Tu Mera Hogaya Hai"" showcases Jubin Nautiyal's smooth, melodically rich voice on a tender declaration of belonging and mutual devotion. Estimated in D major at a flowing ~88 BPM in 4/4, Pritam's arrangement favors gentle acoustic and string textures, with a memorable, easily hummable hook line characteristic of his radio-friendly romantic output. Irshad Kamil's lyrics celebrate the simple, joyful certainty of having found one's person. The mood is warm and contented, offering one of the soundtrack's lighter, more hopeful moments before Tadap's narrative pivots toward darker territory — the song's popularity led to its own ""Encore"" reprise version sung by Javed Ali elsewhere in the album.",https://youtu.be/cZkYaSk2ZMk?si=BMwsG3COwv3x0558
Hoye Ishq Na,2021,Tadap,Pritam,B Praak; Dino James,Irshad Kamil; Dino James,Nadiadwala Grandson Entertainment,T-Series,Gm,96,4/4,Rap-Rock Fusion,"""Hoye Ishq Na"" injects a harder, more contemporary edge into the Tadap soundtrack, pairing B Praak's powerful, gravelly vocal style with rapper-lyricist Dino James's punchy verses. Estimated in G minor at a driving ~96 BPM in 4/4, Pritam blends rock-leaning guitar textures with rap cadences, a fusion he'd previously explored sparingly, giving the track an urgent, modern edge distinct from the album's more traditional balladry. The dual lyricist credit (Irshad Kamil and Dino James) reflects the hybrid Hindi-rap verse structure. The lyrics warn against falling into love's destructive grip. The mood is intense and cautionary, mirroring the film's darker emotional undercurrents around obsession and consequence.",https://youtu.be/FQw9tVytMKs?si=XyMay5z3Wa4oimZG
Tere Siva Jag Mein (Cafe Edit),2021,Tadap,Pritam,Darshan Raval,Irshad Kamil,Nadiadwala Grandson Entertainment,T-Series,Am,78,4/4,Acoustic Romantic (Alternate Version),"The ""Cafe Edit"" of ""Tere Siva Jag Mein"" strips the soundtrack's central romantic theme down to Darshan Raval's solo voice over a sparser, more acoustic-leaning arrangement, befitting its cafe/lounge-style branding. Retaining the underlying estimated A minor key but slightly slower at ~78 BPM in 4/4, Pritam pulls back the fuller string orchestration of the original duet, letting an intimate guitar-or-piano-led texture carry the devotional sentiment instead. Irshad Kamil's lyrics about all-consuming devotion remain unchanged. The mood becomes more hushed and personal than the original's grander scale, designed for a more relaxed, ambient listening context rather than the dramatic film-scene placement of the main version.",https://youtu.be/AQflbNHQO4Q?si=7Nq90t7f0h0_d0EC
Tere Siva Jag Mein (Reprise),2021,Tadap,Pritam,Mohammed Irfan; Asees Kaur,Irshad Kamil,Nadiadwala Grandson Entertainment,T-Series,Am,80,4/4,Devotional Romantic Ballad (Reprise),"The reprise of ""Tere Siva Jag Mein"" offers yet another vocal pairing for the soundtrack's most reused melody, with Mohammed Irfan and Asees Kaur bringing a smoother, more polished duet quality compared to the original's grittier vocal texture. The composition holds to its estimated A minor key and ~80 BPM tempo in 4/4, with Pritam's warm string-led arrangement carried over largely intact. The devotional, all-consuming love expressed in Irshad Kamil's lyrics remains constant across versions. This reprise leans slightly more melodic and radio-friendly than the Shilpa Rao-Darshan Raval original, reflecting Pritam's recurring approach across several 2021-22 soundtracks of extracting multiple emotional registers from a single strong melody.",https://youtu.be/PArNDYN3k3s?si=xOcMhmAFDb7qnbaZ
Tu Mera Hogaya Hai (Encore),2021,Tadap,Pritam,Javed Ali,Irshad Kamil,Nadiadwala Grandson Entertainment,T-Series,D,88,4/4,Melodic Romantic (Alternate Version),"The ""Encore"" version of ""Tu Mera Hogaya Hai"" reinterprets Jubin Nautiyal's original through Javed Ali's classically trained, more ornamented vocal style, adding subtle melodic flourishes the original kept simpler. The underlying composition retains its estimated D major key and ~88 BPM tempo in 4/4, with Pritam's gentle acoustic-and-string arrangement largely unchanged. Irshad Kamil's lyrics about joyful, certain belonging stay the emotional anchor. Javed Ali's interpretation brings a slightly more traditional, soulful color to the same melody, giving listeners a contrasting take on the song's warmth — part of the soundtrack's broader pattern of offering reprise and alternate versions across its key tracks.",https://youtu.be/ooGnb4G5tf4?si=oGz4ACF7RKrn9uyH
Lehra Do,2021,83,Pritam,Arijit Singh,Kausar Munir,"Reliance Entertainment, Phantom Films, 83 Films Ltd.",Zee Music Company,D,104,4/4,Patriotic Sports Anthem,"""Lehra Do"" is Pritam's sole contribution to the 83 soundtrack (depicting India's historic 1983 Cricket World Cup win), with Arijit Singh's powerful, rousing vocals carrying a call to national pride and self-belief. Estimated in D major at an energizing ~104 BPM in 4/4, the arrangement builds with marching-style percussion, soaring strings, and a triumphant brass-adjacent synth layer designed for maximum stadium-anthem impact. Kausar Munir's lyrics urge unfurling the flag of defiance and proving one's mettle against the odds. The mood is patriotic, motivational, and grand in scale, fitting the film's underdog-against-the-world narrative about Kapil Dev's team defying expectations to win cricket's biggest prize on the global stage.",https://youtu.be/nDsIy6kRhms?si=PzTEU06zPUCdAWZj
Kaala Jaadu,2022,Freddy,Pritam,Arijit Singh; Nikhita Gandhi,Irshad Kamil,"Tips Films, Anukampa Pictures",Tips Music,Dm,100,4/4,Romantic/Seductive Pop,"""Kaala Jaadu"" (""black magic"") is the lead single of the psychological thriller Freddy, with Arijit Singh and Nikhita Gandhi's vocals capturing the dizzying, almost dangerous pull of infatuation that drives the film's disturbing narrative. Estimated in D minor at a sultry ~100 BPM in 4/4, Pritam layers smooth, groove-driven production with subtle electronic textures and a seductive, slow-building hook, giving the track a moody yet catchy pop sensibility. Irshad Kamil's lyrics describe love as an inescapable spell or sorcery, fitting Freddy's central theme of obsessive desire curdling into something sinister. The mood is alluring and slightly unsettling beneath its surface charm, foreshadowing Kartik Aaryan's character's descent into dangerous obsession within the film's dark psychological framework.",https://youtu.be/RHYKhnSf1is?si=nmfYv60koXu4oAKR
Tujhse Pyaar Karta Hoon,2022,Freddy,Pritam,Raghav Chaitanya,Irshad Kamil,"Tips Films, Anukampa Pictures",Tips Music,Am,84,4/4,Intense Romantic Ballad,"""Tujhse Pyaar Karta Hoon"" deepens Freddy's romantic-obsessive undertone, with Raghav Chaitanya's emotionally charged, slightly desperate vocal delivery underscoring devotion that borders on consuming. Estimated in A minor at a measured ~84 BPM in 4/4, Pritam builds a moody, atmospheric arrangement with restrained piano and subtle string layers that swell at key emotional points, mirroring the protagonist's intensifying fixation. Irshad Kamil's lyrics speak of total surrender to love, asking to be consumed entirely by the beloved. The mood is intimate yet quietly unsettling, fitting the film's slow unraveling of a seemingly gentle man's psyche — music that sounds romantic on the surface but carries an undertone of obsession once understood within the film's twist-laden context.",https://youtu.be/Yn7RIRt33Pc?si=4zeZXpZgn2ZdkT88
Tum Jo Milo,2022,Freddy,Pritam,Abhijeet Srivastava,Irshad Kamil,"Tips Films, Anukampa Pictures",Tips Music,C,88,4/4,Tender Romantic Ballad,"""Tum Jo Milo"" offers a gentler, more conventionally tender moment within Freddy's unsettling soundtrack, with Abhijeet Srivastava's warm, sincere vocal delivery describing the simple joy of finding someone who feels like home. Estimated in C major at a relaxed ~88 BPM in 4/4, Pritam keeps the arrangement soft and melodic — light piano, warm strings, and an uncomplicated romantic hook — deliberately contrasting with the album's darker undercurrents elsewhere. Irshad Kamil's lyrics express straightforward gratitude and comfort in companionship. The mood is sincere and soothing on its own terms, functioning within the film as the protagonist's genuine, perhaps naive, perspective on love before the story's darker psychological layers fully surface.",https://youtu.be/yX8ZqaXTTfk?si=wmJraRx6jyWmYlj_
Kahani,2022,Laal Singh Chaddha,Pritam,Mohan Kannan,Amitabh Bhattacharya,"Aamir Khan Productions, Viacom18 Studios, Paramount Pictures",T-Series,G,92,3/4,Whimsical Waltz / European-Folk Pop,"""Kahani,"" described by its own promotional material as ""the soul of Laal Singh Chaddha,"" is a whimsical waltz built around accordion and plucked strings, evoking the European, fairy-tale-tinged sound Pritam pioneered in Barfi!. Mohan Kannan's earnest, slightly untrained-sounding vocal delivery was deliberately chosen over more polished singers for its endearing sincerity. Estimated in G major at a gentle ~92 BPM in a lilting 3/4 waltz time, the song's innocent, storybook melody mirrors the film's central metaphor of life as an unpredictable tale narrated to strangers. Amitabh Bhattacharya's reflective lyrics use a floating feather as imagery (a direct nod to source material Forrest Gump). The mood is childlike, warm, and nostalgically bittersweet.",https://youtu.be/icaiYMmpG94?si=ngRLa6wCtef-_h2U
Main Ki Karaan?,2022,Laal Singh Chaddha,Pritam,Sonu Nigam; Romy,Amitabh Bhattacharya,"Aamir Khan Productions, Viacom18 Studios, Paramount Pictures",T-Series,D,110,4/4,Punjabi Folk-Pop,"""Main Ki Karaan?"" (""what should I do?"") captures the giddy intoxication of infatuation through Sonu Nigam's seasoned, expressive voice paired with Romy's fresh, energetic delivery. Estimated in D major at a breezy ~110 BPM in 4/4, Pritam infuses the track with light Punjabi folk-pop instrumentation — likely tumbi-style plucked textures and upbeat percussion — giving it a playful, regional flavor distinct from the album's more orchestral pieces. Amitabh Bhattacharya's lyrics portray bewildered, helpless love. The mood is light, charming, and youthfully restless, capturing the protagonist's growing romantic feelings during an earlier chapter of his life story, before the narrative moves toward its more dramatic, war-torn passages.",https://youtu.be/7zS7MNtRSAY?si=xcfGQRDB-COhJbjR
Phir Na Aisi Raat Aayegi,2022,Laal Singh Chaddha,Pritam,Arijit Singh,Amitabh Bhattacharya,"Aamir Khan Productions, Viacom18 Studios, Paramount Pictures",T-Series,Bm,70,4/4,Melancholic Ballad,"""Phir Na Aisi Raat Aayegi"" is a quietly devastating ballad carried by Arijit Singh's restrained, aching vocal performance, mourning a singular night or moment that can never be recaptured. Estimated in B minor at a slow ~70 BPM in 4/4, Pritam keeps the arrangement spare — led by piano with subtle textural layers from additional keys — letting silence and space do as much emotional work as the melody itself. Amitabh Bhattacharya's lyrics dwell on irretrievable loss and longing for a vanished past. The mood is deeply melancholic and reflective, marking one of the soundtrack's most purely emotional moments, tied to the protagonist's grief and yearning across the film's decades-spanning, bittersweet narrative.",https://youtu.be/cpH8tCyVGPo?si=8nMEpcfFxeHPr9nU
Tur Kalleyan,2022,Laal Singh Chaddha,Pritam,Arijit Singh; Shadab Faridi; Altamash Faridi,Amitabh Bhattacharya,"Aamir Khan Productions, Viacom18 Studios, Paramount Pictures",T-Series,Cm,76,4/4,Sufi-Folk Healing Anthem,"""Tur Kalleyan"" (""walk alone"") draws on Sufi-folk devotional tradition, with Arijit Singh joined by qawwali-trained vocalists Shadab and Altamash Faridi to create a song about healing through inner reflection rather than companionship. Estimated in C minor at a measured ~76 BPM in 4/4, Pritam blends traditional qawwali-style group vocals and hand percussion with his own contemporary melodic sensibility, giving the track spiritual weight. Amitabh Bhattacharya's lyrics counsel walking one's own path and finding strength within after heartbreak. Critics singled this out alongside ""Kahani"" as capturing the film's essence. The mood is meditative, resilient, and quietly uplifting — depicting emotional healing rather than romantic resolution.",https://youtu.be/fgUqudEc3T8?si=aPlmIL7JjnBC8es9
Kahani (Sonu's Version),2022,Laal Singh Chaddha,Pritam,Sonu Nigam,Amitabh Bhattacharya,"Aamir Khan Productions, Viacom18 Studios, Paramount Pictures",T-Series,G,92,3/4,Whimsical Waltz (Alternate Version),"This alternate rendition of ""Kahani"" hands the storybook waltz to Sonu Nigam's more technically polished, accomplished voice, complete with an additional verse not present in Mohan Kannan's original version. The underlying composition retains its estimated G major key and gentle ~92 BPM tempo in 3/4 waltz time, with the same accordion-and-strings arrangement giving it the same European, fairy-tale charm. While reviewers noted Nigam's version is vocally superior, many found Kannan's earnest, slightly imperfect delivery on the original more emotionally endearing for the character. The mood remains warm, nostalgic, and gently bittersweet, offering an interesting study in how the same Pritam-Bhattacharya composition shifts in feeling depending entirely on vocal interpretation.",https://youtu.be/AzgFwOX7A0g?si=2pW5gd9YaCScQ3xC
Tere Hawaale,2022,Laal Singh Chaddha,Pritam,Arijit Singh; Shilpa Rao,Amitabh Bhattacharya,"Aamir Khan Productions, Viacom18 Studios, Paramount Pictures",T-Series,A,82,4/4,Gurbani-Inspired Devotional Romance,"""Tere Hawaale,"" the film's closing song and reportedly Pritam's personal favorite composition for the project, was deliberately stripped of lush orchestration at Aamir Khan's insistence, leaving Arijit Singh's flat, unadorned delivery to carry the song's quiet power. Estimated in A major at ~82 BPM in 4/4, the arrangement draws on gurbani musical phrasing inspired by Punjabi wedding traditions, with Shilpa Rao added later in a lower octave since the melody was never originally written for a female voice. Amitabh Bhattacharya's lyrics, written from the protagonist's perspective as he marries Rupa, speak of total surrender to love and fate. The mood is humble, devotional, and quietly profound — the soundtrack's gentle emotional resolution.",https://youtu.be/KUpwupYj_tY?si=zsqiUdr0r72wohTb
Leke Prabhu Ka Naam,2023,Tiger 3,Pritam,Arijit Singh; Nikhita Gandhi,Amitabh Bhattacharya,Yash Raj Films,YRF Music,Dm,120,4/4,Arabic-Pop Dance,"""Leke Prabhu Ka Naam"" marked Arijit Singh's first-ever vocal for a Salman Khan film, ending a near-decade-long rift between the two following a 2014 awards-night dispute. Pritam crafts an Arabic-tinged dance number, estimated in D minor at a propulsive ~120 BPM in 4/4, built on Middle Eastern percussion patterns, swirling string flourishes, and a chant-like hook reminiscent of the YRF Spy Universe's established Pathaan-style sonic palette. Amitabh Bhattacharya's lyrics invoke divine blessing while celebrating triumphant romance, with Nikhita Gandhi's vocals adding melodic contrast to Arijit's lead. The mood is grand, celebratory, and exotic, designed for a lavish set-piece song sequence showcasing Salman Khan and Katrina Kaif's chemistry on a big international budget canvas.",https://youtu.be/6GxXehkPyBs?si=_fm7ZJW-4z-HdujY
Ruaan,2023,Tiger 3,Pritam,Arijit Singh,Irshad Kamil,Yash Raj Films,YRF Music,Fm,78,4/4,Romantic Ballad,"""Ruaan"" is Tiger 3's tender romantic centerpiece, with Arijit Singh delivering a soulful, restrained vocal performance written by longtime YRF collaborator Irshad Kamil. Estimated in F minor at a slow ~78 BPM in 4/4, Pritam's arrangement leans into piano and lush, cinematic strings that build gradually, echoing the grand-scale romantic balladry he's previously brought to the spy-universe's love theme tradition (in the vein of earlier franchise tracks). Kamil's lyrics speak of an unbreakable, soul-deep bond between two people across time and danger. The mood is intimate and emotionally rich, intended to underscore the enduring love story between Tiger and Zoya — the franchise's central couple — amid the high-stakes espionage plot surrounding them.",https://youtu.be/OPazrdwYAm0?si=aQ0SBo8CUxNCDp1q
Hua Main,2023,Animal,Pritam (credited as JAM8),Raghav Chaitanya; Pritam,Manoj Muntashir,"T-Series Films, Bhadrakali Pictures, Cine1 Studios",T-Series,Em,98,4/4,Rock-Romantic,"""Hua Main"" was Animal's first single and Pritam's sole contribution to its multi-composer soundtrack — though, notably, he chose to credit the song to his production house JAM8 rather than himself personally. Estimated in E minor at a moderate ~98 BPM in 4/4, the track is built around a clap-driven beat and a wailing guitar riff that reviewers singled out as distinctly Pritam, reflecting his self-described love of rock music; he also lent his own voice alongside Raghav Chaitanya's lead. Manoj Muntashir's lyrics capture intense, all-consuming first love. The mood is passionate and raw, scoring the intimate romantic chemistry between Ranbir Kapoor and Rashmika Mandanna's characters early in the film's sprawling, violence-laced narrative.",https://youtu.be/KNXYonYD59w?si=rXu8A_cHwKUhSo6g
Merry Christmas (Title Track),2024,Merry Christmas,Pritam,Ash King,Varun Grover,"Tips Films, Matchbox Pictures",Tips Music,Am,84,4/4,Jazz-Noir / Retro Lounge,"The title track of Merry Christmas sets a smoky, retro-noir mood befitting Sriram Raghavan's stylish thriller, with Ash King's smooth, lounge-jazz vocal delivery anchoring the track. Estimated in A minor at a relaxed ~84 BPM in 4/4, Pritam leans on muted trumpet-style synths, soft brushed percussion, and a slow-swing rhythm reminiscent of vintage Bombay noir soundtracks — a deliberate homage to old-world Hindi cinema scoring. Varun Grover's lyrics evoke a mysterious, atmospheric Christmas Eve setting rather than festive cheer. The mood is sultry, suspenseful, and cinematic, perfectly mirroring the film's one-night, slow-burn mystery narrative between Katrina Kaif and Vijay Sethupathi's characters.",https://youtu.be/REQOQcYJVCI?si=Mjy17sdzURV4TpCR
Nazar Teri Toofan,2024,Merry Christmas,Pritam,Papon,Varun Grover,"Tips Films, Matchbox Pictures",Tips Music,Dm,90,4/4,Romantic Noir / Lounge,"""Nazar Teri Toofan"" carries forward the soundtrack's smoky, atmospheric noir-lounge identity, with Papon's warm, textured voice describing a gaze as powerful and overwhelming as a storm. Estimated in D minor at a measured ~90 BPM in 4/4, Pritam's arrangement favors understated keys, soft brass-like synth textures, and a steady, sultry rhythm that mirrors the film's slow-burn tension. Varun Grover's poetic lyrics frame attraction as something dangerous and disorienting, fitting the mystery-thriller's central romantic intrigue. The mood is hushed, seductive, and slightly ominous — music that feels like it's playing in the background of a dimly-lit 1960s-inspired Bombay nightclub, reinforcing the film's vintage suspense aesthetic.",https://youtu.be/Krt3Br7pzSE?si=IrBLmKHJMyL_MfI-
